size,price,direction
300,304800,1
100,5784100,1
93,5674800,-1
100,271250,1
100,271500,1
200,306300,1
100,302800,-1
10,5777300,1
200,267000,1
1100,308300,1
800,305100,-1
255,266900,-1
100,268100,-1
100,5876900,-1
7,275500,-1
500,273900,1
1504,268300,1
200,304300,-1
100,2235400,1
27,5852800,-1
1,5820200,1
6,5816300,1
157,5776900,-1
600,270000,-1
300,268100,1
48,5826000,-1
100,5867000,-1
646,306600,-1
1000,303000,1
500,274700,1
787,303000,1
1000,308800,-1
100,267000,1
56,5845000,1
8,2235500,1
180,5866900,-1
300,269200,-1
100,5861900,1
10,5826800,-1
300,271400,1
100,5848800,-1
300,302100,-1
100,269150,1
366,271600,1
68,5829400,-1
100,268000,1
100,266700,1
100,267300,1
11,5724500,-1
7100,270900,-1
3,5676100,1
90,5777900,1
14,2219500,1
28,301300,1
200,274800,-1
18,5854900,-1
30,269100,-1
200,301000,-1
100,273200,1
97,5866700,-1
100,310200,1
4,5721200,-1
100,307000,-1
700,307800,1
500,272400,-1
50,302700,-1
100,303400,1
200,5858800,-1
100,273700,-1
100,268000,1
100,5782500,1
100,5826900,-1
10,5724700,-1
36,5781500,1
34,5829800,-1
200,306000,1
100,303000,-1
100,5831200,-1
25,5782700,1
100,306900,1
100,266300,1
40,5812000,1
100,5866200,1
73,5775000,1
100,5830000,1
1000,309000,1
23,5839100,-1
700,305800,1
3,5868000,1
100,303500,-1
155,302000,-1
1,5836000,1
200,304850,-1
700,266400,1
10000,268800,1
100,271200,-1
100,5869600,-1
100,5756600,-1
300,270000,1
28,5828000,1
11,2234100,1
100,301600,1
100,309000,-1
181,5796600,-1
100,2244400,-1
100,5851200,-1
1200,305200,1
281,303300,-1
77,5857200,1
100,272900,1
100,266800,1
56,5751300,1
1200,307700,1
100,302000,-1
13,5845000,-1
85,5815700,1
19,2239600,-1
11,5721600,1
200,306000,-1
100,5653700,-1
200,5855000,-1
500,303500,1
100,5819900,-1
40,2209600,1
35,273500,-1
1,5856100,-1
99,5868200,1
100,5867200,-1
100,5856100,1
4,2208700,1
13,2210300,1
358,308400,-1
74,5848500,1
137,273100,1
100,5811800,1
100,5786100,-1
80,2254300,-1
100,308900,-1
100,308900,-1
15,5837700,1
100,306600,-1
50,5640400,1
6,5870800,-1
49,307800,1
35,5869000,1
100,302000,-1
100,301000,1
12,5838400,-1
100,5804200,1
50,5812100,1
200,301900,-1
